auto_id;id_csv;id;devEui;temperature;humidity;pressure;pm1_0;pm2_5;pm10;so2;o3;co;no2;noise_level;createdDateTime;pm2_5_aqi;pm10_aqi;so2_aqi;o3_aqi;co_aqi;no2_aqi;aqi;primary_pollutant;customer_tz_createdDateTime
709095;0;1275422;4417935af5e4505d;27.02;65;980;0;0;0;0;0.01;0;0;63;2023-08-12 6:16:52;0;0;0;0;0;0;0;no2;2023-08-11 23:16:52
709096;0;1275426;4417935af3d82f50;26.93;68;985;3;4;5;0;0.01;0;0;56;2023-08-12 6:18:44;17;5;0;0;0;0;17;pm2_5;2023-08-11 23:18:44
709097;0;1275445;4417935af3905f62;26.16;74;944;4;4;6;0;0.01;0;0;58;2023-08-12 6:27:31;17;6;0;0;0;0;17;pm2_5;2023-08-11 23:27:31
709098;0;1275443;44179354c7c83489;24.28;83;934;2;3;3;0;0.01;0;0;53;2023-08-12 6:27:27;13;3;0;0;0;0;13;pm2_5;2023-08-11 23:27:27
709099;0;1275447;44179354c798205a;26.86;70;949;2;3;3;0;0.01;0;0;63;2023-08-12 6:29:10;13;3;0;0;0;0;13;pm2_5;2023-08-11 23:29:10
709100;0;1275441;4417935aff00388d;26.75;68;940;13;10;18;0;0.01;0;0;56;2023-08-12 6:26:17;42;17;0;0;0;0;42;pm2_5;2023-08-11 23:26:17
709101;0;1275448;44179354c7782e90;26.46;70;946;1;2;2;0;0.01;0;0;57;2023-08-12 6:29:21;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:29:21
709102;0;1275444;4417935b01081c59;25;83;938;28;32;37;0;0.01;66;0;56;2023-08-12 6:27:31;93;34;0;0;500;0;500;co;2023-08-11 23:27:31
709103;0;1275449;4417935b00b83a53;27.25;65;944;2;3;3;10.9;0.01;0;0;61;2023-08-12 6:29:34;13;3;500;0;0;0;500;so2;2023-08-11 23:29:34
709104;0;1275440;4417935af40cae86;26.68;66;986;1;2;2;0;0.03;0;0;54;2023-08-12 6:25:58;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:25:58
709105;0;1275442;4417935af5e4505d;27.03;65;980;2;2;3;0;0.01;0;0;61;2023-08-12 6:27:16;8;3;0;0;0;0;8;pm2_5;2023-08-11 23:27:16
709106;0;1275446;4417935af3d82f50;27.07;68;985;3;4;4;0;0.01;0;0;57;2023-08-12 6:29:00;17;4;0;0;0;0;17;pm2_5;2023-08-11 23:29:00
709107;0;1275465;4417935af3905f62;26.12;75;944;3;4;5;0;0.01;0;0;58;2023-08-12 6:37:36;17;5;0;0;0;0;17;pm2_5;2023-08-11 23:37:36
709108;0;1275464;44179354c7c83489;24.43;82;935;6;6;8;0;0.01;0;0;53;2023-08-12 6:37:38;25;7;0;0;0;0;25;pm2_5;2023-08-11 23:37:38
709109;0;1275467;44179354c798205a;26.82;71;949;2;3;3;0;0.01;0;0;63;2023-08-12 6:38:49;13;3;0;0;0;0;13;pm2_5;2023-08-11 23:38:49
709110;0;1275461;4417935aff00388d;26.71;68;940;5;4;7;0;0.01;0;0;55;2023-08-12 6:37:03;17;6;0;0;0;0;17;pm2_5;2023-08-11 23:37:03
709111;0;1275468;44179354c7782e90;26.55;70;946;1;2;2;0;0.01;0;0;58;2023-08-12 6:39:27;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:39:27
709112;0;1275463;4417935b01081c59;24.98;83;939;6;8;9;0;0.01;66;0;56;2023-08-12 6:37:22;33;8;0;0;500;0;500;co;2023-08-11 23:37:22
709113;0;1275469;4417935b00b83a53;27.36;66;944;2;3;3;10.5;0.01;0;0;71;2023-08-12 6:40:00;13;3;500;0;0;0;500;so2;2023-08-11 23:40:00
709114;0;1275460;4417935af40cae86;26.96;65;986;3;4;4;0;0.03;0;0;59;2023-08-12 6:36:30;17;4;0;0;0;0;17;pm2_5;2023-08-11 23:36:30
709115;0;1275462;4417935af5e4505d;27.16;65;980;6;6;9;0;0.01;0;0;66;2023-08-12 6:37:10;25;8;0;0;0;0;25;pm2_5;2023-08-11 23:37:10
709116;0;1275466;4417935af3d82f50;27.37;67;984;4;5;6;1.3;0.04;0;0;57;2023-08-12 6:38:27;21;6;500;0;0;0;500;so2;2023-08-11 23:38:27
709117;0;1275484;4417935af3905f62;26.11;75;943;6;6;7;0;0.03;0;0;60;2023-08-12 6:47:49;25;6;0;0;0;0;25;pm2_5;2023-08-11 23:47:49
709118;0;1275485;44179354c7c83489;24.5;81;935;3;4;4;0;0.01;0;0;55;2023-08-12 6:47:50;17;4;0;0;0;0;17;pm2_5;2023-08-11 23:47:50
709119;0;1275487;44179354c798205a;26.73;72;949;2;3;3;0;0.01;0;0;64;2023-08-12 6:48:46;13;3;0;0;0;0;13;pm2_5;2023-08-11 23:48:46
709120;0;1275480;4417935aff00388d;26.78;68;941;6;5;8;0;0.01;0;0;54;2023-08-12 6:46:49;21;7;0;0;0;0;21;pm2_5;2023-08-11 23:46:49
709121;0;1275488;44179354c7782e90;26.62;69;947;0;1;1;0;0.01;0;0;62;2023-08-12 6:49:15;4;1;0;0;0;0;4;pm2_5;2023-08-11 23:49:15
709122;0;1275482;4417935b01081c59;24.98;82;938;5;7;7;0;0.01;66;0;57;2023-08-12 6:47:09;29;6;0;0;500;0;500;co;2023-08-11 23:47:09
709123;0;1275489;4417935b00b83a53;27.36;66;944;1;2;2;10.4;0.01;0;0;75;2023-08-12 6:49:43;8;2;500;0;0;0;500;so2;2023-08-11 23:49:43
709124;0;1275481;4417935af40cae86;27.21;64;986;2;3;3;0;0.04;0;0;53;2023-08-12 6:46:50;13;3;0;0;0;0;13;pm2_5;2023-08-11 23:46:50
709125;0;1275483;4417935af5e4505d;27.16;66;980;7;8;10;0;0.01;0;0;63;2023-08-12 6:47:11;33;9;0;0;0;0;33;pm2_5;2023-08-11 23:47:11
709126;0;1275486;4417935af3d82f50;27.37;66;984;3;4;5;0;0.01;0;0;61;2023-08-12 6:48:18;17;5;0;0;0;0;17;pm2_5;2023-08-11 23:48:18
